<expr>,<expr>,
9512,74,
6315,70,
7420,62,
2801,60,
5703,57,
5000,56,
2182,54,
6368,54,
7497,54,
5191,53,
6046,53,
6140,53,
5291,52,
3452,50,
7146,49,
5433,48,
6733,47,
7252,47,
4852,46,
3634,44,
4103,44,
46537,44,
6941,42,
46468,42,
1729,41,
3531,41,
4708,40,
4565,39,
5800,39,
46499,39,
2530,38,
7278,38,
10048,38,
6632,37,
612,36,
3182,36,
3873,36,
4035,36,
5845,36,
10757,36,
46491,36,
3293,35,
4152,35,
9965,35,
972,34,
3808,34,
5129,34,
5582,34,
5915,34,
7307,34,
9334,34,
10311,34,
46507,34,
4509,33,
4571,33,
5515,33,
5561,33,
6554,33,
6995,33,
46490,33,
4369,32,
1194,31,
5357,31,
7977,31,
46497,31,
46520,31,
3009,30,
3086,30,
4269,30,
5391,30,
6305,30,
6723,30,
7029,30,
8880,30,
9781,30,
46493,30,
1359,29,
4990,29,
7777,29,
838,28,
1560,28,
3020,28,
4995,28,
9642,28,
46494,28,
46495,28,
1681,27,
4322,27,
4917,27,
46489,27,
46547,27,
3186,26,
3928,26,
46503,26,
4404,25,
6064,25,
6220,25,
6893,25,
9590,25,
10202,25,
46478,25,
1250,24,
3259,24,
46501,24,
2936,23,
3140,23,
6509,23,
6576,23,
8302,23,
10171,23,
46476,23,
46544,23,
735,22,
1519,22,
3236,22,
3776,22,
4649,22,
7163,22,
7383,22,
8957,22,
9468,22,
9837,22,
9872,22,
10005,22,
46484,22,
875,21,
1137,21,
5109,21,
7058,21,
7882,21,
9411,21,
46492,21,
1655,20,
2425,20,
2490,20,
5659,20,
6193,20,
6788,20,
6868,20,
6907,20,
9017,20,
9314,20,
46465,20,
46487,20,
2769,19,
7657,19,
8475,19,
8937,19,
46470,19,
46479,19,
46486,19,
682,18,
1060,18,
6002,18,
6600,18,
46496,18,
46504,18,
46540,18,
3963,17,
7699,17,
8635,17,
8655,17,
9071,17,
9931,17,
11051,17,
46485,17,
46498,17,
46514,17,
46515,17,
788,16,
2005,16,
8542,16,
9236,16,
9626,16,
2703,15,
4642,15,
7112,15,
7748,15,
7940,15,
9909,15,
10283,15,
46517,15,
46519,15,
1020,14,
1606,14,
6980,14,
10646,14,
46467,14,
46521,14,
46525,14,
8176,13,
46480,13,
46505,13,
570,12,
1504,12,
4487,12,
8021,12,
9676,12,
46477,12,
46481,12,
141,11,
346,11,
535,11,
8101,11,
8605,11,
8752,11,
46546,11,
51992,11,
8,10,
3852,10,
46483,10,
941,9,
1862,9,
2011,9,
2028,9,
3079,9,
3516,9,
7692,9,
8015,9,
9452,9,
70,8,
1905,8,
8256,8,
46464,8,
46506,8,
2001,7,
2039,7,
2083,7,
2732,7,
7845,7,
8055,7,
8519,7,
8923,7,
10105,7,
10974,7,
46466,7,
46472,7,
2175,6,
3524,6,
46545,6,
2672,5,
7955,5,
8119,5,
8397,5,
9575,5,
10966,5,
46482,5,
118,4,
1977,4,
6242,4,
7192,4,
7612,4,
8082,4,
8514,4,
9670,4,
46471,4,
46513,4,
46523,4,
46542,4,
46549,4,
46550,4,
46552,4,
415,3,
1282,3,
1397,3,
1946,3,
4752,3,
7580,3,
9580,3,
46488,3,
46502,3,
46508,3,
46518,3,
46541,3,
46543,3,
448,2,
460,2,
3352,2,
3380,2,
6820,2,
9122,2,
9998,2,
440,1,
452,1,
456,1,
4459,1,
8579,1,
8674,1,
8825,1,
9115,1,
9152,1,
46473,1,
46509,1,
46510,1,
46539,1,
46553,1,
